title,authors,
Joint Structural Learning to Rank with Deep Linear Feature Learning,3,
{XACML} Policy Evaluation with Dynamic Context Handling,4,
{SERIMI:} Class-Based Matching for Instance Matching Across Heterogeneous Datasets,4,
An Event Calculus for Event Recognition,4,
Time-Series Classification with {COTE:} The Collective of Transformation-Based Ensembles,4,
Main-Memory Hash Joins on Modern Processor Architectures,4,
{FOCS:} Fast Overlapped Community Search,4,
Indexing Evolving Events from Tweet Streams,4,
A New Dynamic Rule Activation Method for Extended Belief Rule-Based Systems,4,
A Unified Feature Selection Framework for Graph Embedding on High Dimensional Data,4,
Co-ClusterD: {A} Distributed Framework for Data Co-Clustering with Sequential Updates,4,
{ISC:} An Iterative Social Based Classifier for Adult Account Detection on Twitter,4,
Best Keyword Cover Search,4,
Graph-Based Learning via Auto-Grouped Sparse Regularization and Kernelized Extension,4,
TrGraph: Cross-Network Transfer Learning via Common Signature Subgraphs,4,
Evaluation of Multiclass Novelty Detection Algorithms for Data Streams,4,
Efficient Reverse Top-k Boolean Spatial Keyword Queries on Road Networks,4,
Multi-View Concept Learning for Data Representation,4,
Nonlinear Metric Learning with Kernel Density Estimation,4,
Subgraph Matching with Set Similarity in a Large Graph Database,4,
A Similarity-Based Learning Algorithm Using Distance Transformation,4,
GFilter: {A} General Gram Filter for String Similarity Search,4,
Improving Accuracy and Robustness of Self-Tuning Histograms by Subspace Clustering,4,
Tweet Segmentation and Its Application to Named Entity Recognition,4,
Efficient Notification of Meeting Points for Moving Groups via Independent Safe Regions,4,
Scalable Constrained Spectral Clustering,4,
Beyond Millisecond Latency \emph{k}NN Search on Commodity Machine,4,
{TASC:} Topic-Adaptive Sentiment Classification on Dynamic Tweets,4,
Evolutionary Bayesian Rose Trees,4,
Domain Invariant Transfer Kernel Learning,4,
Joint Search by Social and Spatial Proximity,4,
Adaptive Anomaly Detection with Kernel Eigenspace Splitting and Merging,4,
Graph-Based Approaches for Over-Sampling in the Context of Ordinal Regression,4,
A Reconstruction Error Based Framework for Multi-Label and Multi-View Learning,4,
Diversified Hidden Markov Models for Sequential Labeling,4,
Reverse Nearest Neighbors in Unsupervised Distance-Based Outlier Detection,4,
Sample Weighting: An Inherent Approach for Outlier Suppressing Discriminant Analysis,4,
Removing {DUST} Using Multiple Alignment of Sequences,4,
{VEGAS:} Visual influEnce GrAph Summarization on Citation Networks,4,
Aggregating and Disaggregating Flexibility Objects,4,
Automatic Taxonomy Construction from Keywords via Scalable Bayesian Rose Trees,4,
t-Closeness through Microaggregation: Strict Privacy with Enhanced Utility Preservation,4,
Privacy Policy Inference of User-Uploaded Images on Content Sharing Sites,4,
Translating Relational Queries into Spreadsheets,4,
HyXAC: Hybrid {XML} Access Control Integrating View-Based and Query-Rewriting Approaches,4,
Efficient Algorithms for Mining the Concise and Lossless Representation of High Utility Itemsets,4,
Resampling-Based Ensemble Methods for Online Class Imbalance Learning,4,
Probabilistic Range Query over Uncertain Moving Objects in Constrained Two-Dimensional Space,4,
Authentication of Moving Top-k Spatial Keyword Queries,4,
Active Learning from Relative Comparisons,4,
Probabilistic Convex Hull Queries over Uncertain Data,4,
Emphasizing Minority Class in {LDA} for Feature Subset Selection on High-Dimensional Small-Sized Problems,4,
Capacity-Constrained Network-Voronoi Diagram,4,
Scalable Distributed Processing of {K} Nearest Neighbor Queries over Moving Objects,4,
Robust Model-Based Learning via Spatial-EM Algorithm,4,
Fast All-Pairs SimRank Assessment on Large Graphs and Bipartite Domains,4,
Finding Top k Most Influential Spatial Facilities over Uncertain Objects,4,
i\({}^{\mbox{2}}\) MapReduce: Incremental MapReduce for Mining Evolving Big Data,4,
"Diffusion of ""Following"" Links in Microblogging Networks",4,
A Parallel Matrix-Based Method for Computing Approximations in Incomplete Information Systems,4,
Expert Finding for Question Answering via Graph Regularized Matrix Completion,4,
{INSPIRE:} {A} Framework for Incremental Spatial Prefix Query Relaxation,4,
On the Upper Bounds of Spread for Greedy Algorithms in Social Network Influence Maximization,4,
Discovery of Ranking Fraud for Mobile Apps,4,
{DSP-CC-:} {I/O} Efficient Parallel Computation of Connected Components in Billion-Scale Networks,5,
A Practical and Effective Sampling Selection Strategy for Large Scale Deduplication,5,
Polarity Consistency Checking for Domain Independent Sentiment Dictionaries,5,
Tracking Temporal Community Strength in Dynamic Networks,5,
CrowdOp: Query Optimization for Declarative Crowdsourcing Systems,5,
Mining Partially-Ordered Sequential Rules Common to Multiple Sequences,5,
Fine-Grained Knowledge Sharing in Collaborative Environments,5,
Triadic Closure Pattern Analysis and Prediction in Social Networks,5,
Focal-Test-Based Spatial Decision Tree Learning,5,
Four Decades of Data Mining in Network and Systems Management,5,
Relevance Feature Discovery for Text Mining,5,
{TRIP:} An Interactive Retrieving-Inferring Data Imputation Approach,5,
Sparsity Learning Formulations for Mining Time-Varying Data,5,
{APP} Relationship Calculation: An Iterative Process,5,
A General Geographical Probabilistic Factor Model for Point of Interest Recommendation,5,
Tensor Canonical Correlation Analysis for Multi-View Dimension Reduction,5,
Extending Conditional Dependencies with Built-in Predicates,5,
Composing Data Services with Uncertain Semantics,5,
GDCluster: {A} General Decentralized Clustering Algorithm,5,
Bridging the Vocabulary Gap between Health Seekers and Healthcare Knowledge,5,
Authenticated Subgraph Similarity Searchin Outsourced Graph Databases,5,
Fusing Monotonic Decision Trees,5,
Program Transformations for Asynchronous and Batched Query Submission,5,
Safe Distribution and Parallel Execution of Data-Centric Workflows over the Publish/Subscribe Abstraction,5,
Differentially Private Frequent Itemset Mining via Transaction Splitting,5,
An Air Index for Spatial Query Processing in Road Networks,5,
Trust Evolution: Modeling and Its Applications,5,
CloudKeyBank: Privacy and Owner Authorization Enforced Key Management Framework,5,
Confidence Interval for F\({}_{\mbox{1}}\) Measure of Algorithm Performance Based on Blocked 3{\texttimes} 2 Cross-Validation,5,
On Summarization and Timeline Generation for Evolutionary Tweet Streams,5,
NUMA-Aware Scalable and Efficient In-Memory Aggregation on Large Domains,5,
Topological Transformation Approaches to Database Query Processing,5,
{HM:} {A} Column-Oriented MapReduce System on Hybrid Storage,5,
K-Means-Based Consensus Clustering: {A} Unified View,5,
Heterogeneous Environment Aware Streaming Graph Partitioning,5,
Boosting Response Aware Model-Based Collaborative Filtering,5,
Malware Propagation in Large-Scale Networks,5,
Adaptive Noise Immune Cluster Ensemble Using Affinity Propagation,5,
Efficient Filtering Algorithms for Location-Aware Publish/Subscribe,5,
In-Memory Big Data Management and Processing: {A} Survey,5,
Efficient Graph Similarity Search Over Large Graph Databases,5,
G-Tree: An Efficient and Scalable Index for Spatial Search on Road Networks,5,
Privacy-Preserving Indoor Localization on Smartphones,6,
Spatio-Temporal Analysis of Passive Consumption in Internet Media,6,
Max-Margin Discriminant Projection via Data Augmentation,6,
Structure-Preserving Subgraph Query Services,6,
PCMLogging: Optimizing Transaction Logging and Recovery Performance with {PCM},6,
Querying Knowledge Graphs by Example Entity Tuples,6,
Social Recommendation with Cross-Domain Transferable Knowledge,6,
Geo-Social K-Cover Group Queries for Collaborative Spatial Computing,6,
A Large Probabilistic Semantic Network Based Approach to Compute Term Similarity,6,
Exploring Topical Lead-Lag across Corpora,6,
Active Learning for Ranking through Expected Loss Optimization,6,
Similar Subtree Search Using Extended Tree Inclusion,6,
Disease Inference from Health-Related Questions via Sparse Deep Learning,6,
Practical Data Prediction for Real-World Wireless Sensor Networks,6,
Extending Association Rule Summarization Techniques to Assess Risk of Diabetes Mellitus,6,
Crowdsourcing Enumeration Queries: Estimators and Interfaces,6,
A Cooperative Coevolution Framework for Parallel Learning to Rank,6,
Optimized Cartesian K-Means,6,
Dual Sentiment Analysis: Considering Two Sides of One Review,6,
{EMR:} {A} Scalable Graph-Based Ranking Model for Content-Based Image Retrieval,6,
Efficient Similarity Join Based on Earth Mover's Distance Using MapReduce,6,
Aggregate Estimation in Hidden Databases with Checkbox Interfaces,6,
A Hierarchical Tensor-Based Approach to Compressing  Updating and Querying Geospatial Data,6,
Discovering Urban Functional ZonesUsing Latent Activity Trajectories,6,
Enforcement of Autonomous Authorizations in Collaborative Distributed Query Evaluation,6,
E-Tree: An Efficient Indexing Structure for Ensemble Models on Data Streams,6,
Incorporating Social Role Theory into Topic Models for Social Media Content Analysis,6,
Probabilistic Word Selection via Topic Modeling,6,
Using Semantic Web Technologies for Exploratory {OLAP:} {A} Survey,7,
Online and Non-Parametric Drift Detection Methods Based on Hoeffding's Bounds,7,
Backward Path Growth for Efficient Mobile Sequential Recommendation,7,
Discovery of Path Nearby Clusters in Spatial Networks,7,
Online Feature Selection with Group Structure Analysis,7,
Towards Effective Bug Triage with Software Data Reduction Techniques,7,
248,946,3.814516129
